name,nationality,wins,was_champion
Cesar Arzamendia,Paraguay,8,0
Kai Asakura,Japan,21,0
Teddy Ash,Canada,14,0
Arman Ashimov,Kazakhstan,11,0
Yanal Ashmouz,Israel,8,0
Asjabharan,Unlisted,7,0
Askar Askar,United States,11,0
Askar Askarov,Russia,14,0
Cyril Asker,France,9,0
Khusein Askhabov,United Arab Emirates,23,0
Scott Askham,England,14,0
Ben Askren,United States,19,0
Ibo Aslan,Turkey,14,0
Tom Aspinall,England,15,1
Bruno Assis,Brazil,8,0
Junior Assuncao,Brazil,16,0
Raphael Assuncao,Brazil,28,0
Michael Aswell,United States,9,0
Bazigit Atajev,Puerto Rico,17,0
Rich Attonito,United States,10,0
Olivier Aubin-Mercier,Canada,11,0
Pat Audinwood,United States,11,0
Jose Augusto,Brazil,6,0
Marcus Aurelio,Brazil,22,0
David Avellan,United States,2,0
Blas Avena,United States,8,0
Levi Avera,United States,18,0
Anthony Avila,United States,13,0
Chris Avila,United States,5,0
Julia Avila,United States,9,0
Saad Awad,United States,20,0
Javy Ayala,United States,10,0
Jessin Ayari,Germany,16,0
Abu Azaitar,Morocco,14,0
Ottman Azaitar,Germany,13,0
Luiz Azeredo,Brazil,15,0
Luciano Azevedo,Brazil,17,0
Hunter Azure,United States,9,0
Niklas Backstrom,Sweden,11,0
Seth Baczynski,United States,20,0
Abdul Azeem Badakhshi,Puerto Rico,13,0
Ryan Bader,United States,23,1
Izabela Badurek,Poland,6,0
Miguel Baeza,United States,10,0
Ali Bagautinov,Russia,15,0
Mehdi Baghdad,France,11,0
Melsik Baghdasaryan,United States,8,0
Siyar Bahadurzada,Afghanistan,24,0
Ignacio Bahamondes,Chile,16,0
Bahatebole Batebolati,China,10,0
Shamar Bailey,United States,16,0
Jordan Bailey,United States,6,0
Scott Baker,United States,1,0
Bryan Baker,United States,18,0
Jin Bala,Russia,23,0
Balajin,United States,23,0
Oluwale Bamgbose,United States,6,0
Stephen Banaszak,United States,5,0
Marcin Bandel,Poland,15,0
Humberto Bandenay,Peru,14,0
Tae Hyun Bang,South Korea,18,0
Yohan Banks,France,2,0
Shauna Bannon,Ireland,6,0
Antonio Banuelos,United States,20,0
Renan Barao,Brazil,34,1
Junior Barata,Brazil,9,0
Maycee Barber,United States,14,0
Bryan Barberena,United States,18,0
Dione Barbosa,Brazil,7,0
Edson Barboza,Brazil,24,0
Raoni Barcelos,Brazil,19,0
Daniel Barez,Spain,17,0
Danny Barlow,United States,9,0
Luke Barnatt,England,13,0
James Barnes,United States,14,0
Nick Barnes,United States,11,0
Shonte Barnes,United States,6,0
Josh Barnett,United States,35,1
Chris Barnett,United States,23,0
Chris Barnhizer,United States,2,0
David Baron,France,17,0
Phil Baroni,United States,15,0
Dan Barrera,United States,3,0
Carlos Barreto,Brazil,14,0
Jose Barreto,Brazil,0,0
Peter Barrett,United States,11,0
Marc-Andre Barriault,Canada,16,0
David Barrios,United States,4,0
Alexandre Barros,Brazil,22,0
Ricardo Barros,United States,2,0
Francimar Barroso,Brazil,19,0
Pat Barry,United States,8,0
Dean Barry,Ireland,4,0
Enrique Barzola,Peru,17,1
Javid Basharat,England,14,0
Farid Basharat,England,13,0
