name,nationality,wins,was_champion
Batgerel Danaa,Mongolia,12,0
Cindy Dandois,Belgium,8,0
Peter Danesoe,Thailand,6,0
Jarjis Danho,Syria,7,0
Raymond Daniels,United States,0,0
Marques Daniels,United States,5,0
Anvarbek Daniyalbekov,Russia,8,0
Alexandre Dantas,Brazil,0,0
Eduardo Dantas,Brazil,20,0
Mac Danzig,United States,21,1
Karen Darabedyan,United States,13,0
Beneil Dariush,United States,22,0
Sean Daugherty,United States,0,0
Kyle Daukaus,United States,11,0
Chris Daukaus,United States,12,0
Brian Davidson,United States,13,0
Rick Davis,United States,3,0
Marcus Davis,United States,22,0
LC Davis,United States,23,0
Phil Davis,United States,17,0
Lemont Davis,United States,2,0
Mike Davis,United States,11,0
Justin Davis,United States,13,0
Alexis Davis,Canada,21,0
Danny Davis,United States,13,0
Brandon Davis,United States,14,0
Hakeem Dawodu,Canada,13,0
Grant Dawson,United States,23,0
Jason Day,Canada,19,0
Martin Day,United States,8,0
Angel De Anda,Unlisted,18,0
Yorgan De Castro,Cape Verde,6,0
Geraldo de Freitas,Puerto Rico,12,0
Philip De Fries,United Kingdom,12,0
Chris de la Rocha,United States,5,0
Montana De La Rosa,United States,13,0
Mark De La Rosa,United States,11,0
Mike de la Torre,United States,14,0
Rodrigo de Lima,Brazil,8,0
Edilberto de Oliveira,Brazil,29,0
Johil de Oliveira,Brazil,17,0
Jorge de Oliveira,Brazil,9,0
Isabela de Padua,Brazil,5,0
Gloria de Paula,Brazil,6,0
Germaine de Randamie,Netherlands,10,1
Reinier de Ridder,Netherlands,19,0
Crezio de Souza,Brazil,1,0
Carl Deaton,United States,17,0
Tom DeBlass,United States,9,0
Issac DeJesus,United States,12,0
Rafael  Del Real,Azerbaijan,6,0
Shane del Rosario,United States,11,0
Wallen Del Rosario,Philippines,8,0
Humberto DeLeon,United States,7,0
Rolando Delgado,United States,11,0
Israel Delgado,United States,0,0
Jose Delgado,United States,9,0
Ante Delija,Croatia,17,0
Jack Della Maddalena,Australia,17,0
Roland Delorme,Canada,9,0
Jon Delos Reyes,United States,8,0
Jason DeLucia,United States,33,0
Yadier DelValle,Puerto Rico,8,0
Justin DeMoney,United States,15,0
Vanessa Demopoulos,United States,11,0
Chris Dempsey,United States,11,0
Nick Denis,Canada,11,0
Thomas Denny,United States,27,0
Robert Densley,United States,9,0
Jason Dent,United States,22,0
Mackenzie Dern,United States,15,0
Booker DeRousse,United States,6,0
Tony DeSouza,Peru,11,0
Robelis Despaigne,Cuba,5,0
Cory Devela,United States,16,0
John Devine,Canada,6,0
Edwin DeWees,United States,38,0
Alessio Di Chirico,Italy,13,0
Micol Di Segni,Italy,7,0
Cyrille Diabate,France,19,0
Thomas Diagne,France,6,0
Marc Diakiese,"Congo, The Democratic Republic of the",17,0
Tyler Diamond,United States,9,0
Blood Diamond,Zimbabwe,3,0
Eldo Xavier Dias,Unlisted,0,0
Rafael Dias,Brazil,17,0
Hacran Dias,Brazil,23,0
Victor Dias,Brazil,11,0
Nick Diaz,United States,26,0
Nate Diaz,United States,22,1
Michael Diaz,United States,1,0
Ryan Diaz,United States,13,0
Adrian Diaz,Unlisted,11,0
Ozzy Diaz,United States,9,0
Mark Dickman,United States,11,0
Josh Diekmann,United States,15,0
Kyle Dietz,United States,5,0
Seth Dikun,United States,9,0
TJ Dillashaw,United States,18,1
Ralph Dillon,United States,0,0
Drew Dimanlig,United States,3,0
Ding Meng,Unlisted,34,0
Rodolfo Marques Diniz,Puerto Rico,23,0
Jhonata Diniz,Brazil,8,0
Helio Dipp,Brazil,6,0
Rico DiSciullo,United States,9,0
Matt Dixon,United States,9,0
John Dixson,United States,15,0
Anthony Do,United States,4,0
Russell Doane,United States,15,0
Drew Dober,United States,27,0
Shana Dobson,United States,4,0
AJ Dobson,Puerto Rico,7,0
David Dodd,United States,4,0
John Dodson,United States,22,1
Joe Doerksen,Canada,51,0
Mike Dolce,United States,5,0
Roman Dolidze,Georgia,14,0
Cameron Dollar,United States,11,0
CB Dollaway,United States,17,0
Dennis Dombrow,United States,7,0
OJ Dominguez,Mexico,0,0
John Donaldson,United States,2,0
Dong Huaxiang,South Korea,12,0
Cody Donovan,United States,8,0
Houston Dorr,United States,1,0
Rafael Dos Anjos,Brazil,32,1
Junior Dos Santos,Brazil,21,1
Geronimo dos Santos,Brazil,39,0
Antonio Dos Santos,Brazil,6,0
Anderson Dos Santos,Brazil,21,0
Acacio Dos Santos,Brazil,14,0
Rayanne dos Santos,Brazil,14,0
Felipe dos Santos,Brazil,8,0
Tiago dos Santos e Silva,Brazil,20,0
Oleksandr Doskalchuk,Canada,10,0
David Douglas,United States,9,0
Damion Douglas,United States,4,0
Cedric Doumbe,France,2,0
John Dowdy,United States,0,0
Jordan Dowdy,United States,4,0
Danny Downes,Unlisted,8,0
Derek Downey,United States,11,0
John Doyle,United States,11,0
Edson Drago,Puerto Rico,11,0
Anthony Drilich,Australia,8,0
Kyle Driscoll,United States,12,0
Chris Drumm,Unlisted,0,0
Tomasz Drwal,Poland,21,0
Robert Drysdale,United States,7,0
Dricus Du Plessis,South Africa,23,1
Hugo Duarte,Brazil,6,0
Antonio Duarte,Brazil,19,0
Joe Duarte,United States,10,0
Yuneisy Duben,Venezuela,6,0
Matthieu Duclos,Puerto Rico,6,0
Emily Ducote,United States,13,0
Viktoriia Dudakova,Puerto Rico,8,0
Milana Dudieva,Russia,11,0
Adin Duenas,United States,6,0
Todd Duffee,United States,9,0
Joe Duffy,United States,16,0
Jack Duffy,England,7,0
Alexis Dufresne,United States,6,0
Jessamyn Duke,United States,3,0
Islam Dulatov,Germany,11,0
Isaac Dulgarian,United States,7,0
Kelly Dullanty,United States,4,0
Sedriques Dumas,United States,10,0
Norma Dumont,Brazil,12,0
Chris Duncan,Scotland,12,0
Christian Leroy Duncan,England,10,0
Evan Dunham,United States,18,0
Alex Dunworth,United States,2,0
Tom Duquesnoy,France,16,0
Albert Duraev,Russia,16,0
Reuben Duran,United States,11,0
Cody Durden,United States,17,0
Luiz Dutra,Brazil,13,0
Rilley Dutro,Puerto Rico,11,0
Bill Duvall,United States,1,0
Merab Dvalishvili,Georgia,19,1
David Dvorak,Czech Republic,20,0
Matt Dwyer,Canada,9,0
Rolando Dy,Philippines,9,0
Ben Earwood,United States,12,0
Cody East,United States,12,0
Marvin Eastman,United States,18,0
Mike Easton,United States,13,0
Maurice Eazel,United States,7,0
Vincent Eazelle,United States,9,0
Ross Ebanez,United States,20,0
Brian Ebersole,United States,51,0
Roybert Echeverria,Venezuela,7,0
Mark Eddiva,Philippines,6,0
Frankie Edgar,United States,23,1
Abdul-Kerim Edilov,Russia,17,0
Johnny Eduardo,Brazil,28,0
Yves Edwards,United States,42,0
Justin Edwards,United States,9,0
Leon Edwards,England,22,1
Te Edwards,United States,6,0
Adli Edwards,United States,4,0
Joselyne Edwards,Panama,14,0
Tom Egan,Ireland,7,0
Stephanie Egger,Switzerland,8,0
Justin Eilers,United States,19,0
Jon Olav Einemo,Norway,6,0
Per Eklund,Sweden,14,0
John Elam,United States,2,0
Evan Elder,United States,9,0
Billy Elekana,United States,7,0
John Paul Elias,United States,3,0
Joao Elias,Brazil,17,0
Saul Elizondo,United States,6,0
Darren Elkins,United States,29,0
Jake Ellenberger,United States,31,0
Joe Ellenberger,United States,15,0
Tim Elliott,United States,21,0
Oban Elliott,Wales,12,0
Eddy Ellis,United States,21,0
Lisa Ellis,United States,15,0
Anna Elmose,Denmark,3,0
Cameron Else,England,10,0
Aaron Ely,United States,5,0
Sovannahry Em,United States,3,0
Ramazan Emeev,Russia,20,0
Aleksander Emelianenko,Russia,23,0
Fedor Emelianenko,Russia,36,0
Rob Emerson,United States,18,0
Jamall Emmers,United States,20,0
Josh Emmett,United States,19,0
Marius Enache,United States,3,0
Kevin Engel,United States,5,0
Kolton Englund,United States,9,0
Oliver Enkamp,Sweden,7,0
Alex Enlund,England,14,0
Kenny Ento,United States,14,0
Ian Entwistle,England,9,0
Andy Enz,United States,10,0
Won Jin Eoh,South Korea,5,0
Josh Epps,United States,6,0
Abdellah Er-Ramy,United States,7,0
Steve Erceg,Australia,12,0
Tom Erikson,United States,9,0
Konstantin Erokhin,Russia,9,0
Julian Erosa,United States,30,0
Jarno Errens,Netherlands,14,0
Ivan Erslan,Croatia,14,0
Nick Ertl,United States,8,0
Chel Erwin-Davis,United States,5,0
Bobby Escalante,United States,5,0
Eric Esch,United States,15,0
Pro Escobedo,United States,1,0
Cole Escovedo,United States,17,0
Efrain Escudero,United States,28,1
Evan Esguerra,United States,8,0
Carla Esparza,United States,20,1
Juan Espino,Spain,11,1
Jordan Espinosa,United States,15,0
Jodie Esquibel,United States,6,0
Rafael Estevam,Brazil,13,0
Achilles Estremadura,Canada,7,0
Shaun Etchell,Australia,7,0
Terry Etim,England,16,0
Fred Ettish,United States,1,0
Scott Ettling,United States,4,0
Sijara Eubanks,United States,8,0
Billy Evangelista,United States,13,0
Rashad Evans,United States,19,1
Doug Evans,United States,13,0
Ashlee Evans-Smith,United States,6,0
Dan Evensen,Norway,11,0
Tonya Evinger,United States,19,0
Movsar Evloev,Russia,19,0
Andre Ewell,United States,17,0
Neal Ewing,United States,6,0
Jessica Eye,United States,15,0
Edward Faaloloto,United States,2,0
Urijah Faber,United States,35,0
Melinda Fabian,Hungary,4,0
Wagnney Fabiano,Brazil,16,0
Bartosz Fabinski,Poland,15,0
Ron Faircloth,United States,33,0
Jason Fairn,Canada,4,0
Zarah Fairn,France,6,0
Rinat Fakhretdinov,Russia,23,0
Maiquel Falcao,Brazil,37,0
Pedro Falcao,Brazil,16,0
Brodie Farber,United States,16,0
Joao Paulo Faria,Brazil,1,0
Kalindra Faria,Brazil,18,0
Jair Farias,Brazil,10,0
Chance Farrar,United States,8,0
Rico Farrington,United States,7,0
Kelly Faszholz,United States,4,0
Rodney Faverus,Netherlands,25,0
Paul Felder,United States,17,0
Carlos Felipe,Brazil,11,0
JP Felty,Unlisted,4,0
Feng Pengchao,Unlisted,15,0
Feng Xiaocan,Puerto Rico,10,0
Kevin Ferguson,United States,5,0
Rhadi Ferguson,United States,3,0
Tony Ferguson,United States,26,1
Josh Ferguson,United States,10,0
CJ Fernandes,United States,14,0
Bibiano Fernandes,Brazil,20,0
Gabriella Fernandes,Brazil,10,0
Kaue Fernandes,Brazil,9,0
Emily Fernandez,Unlisted,0,0
Lucas Fernando,Brazil,9,0
Alexandre Ferreira,Brazil,18,0
Cezar Ferreira,Brazil,13,1
Diego Ferreira,Brazil,19,0
Erisson Ferreira,Brazil,12,0
Brunno Ferreira,Brazil,12,0
Scott Ferrozzo,United States,4,0
Timo Feucht,Germany,8,0
Andre Fialho,Portugal,16,0
Drew Fickett,United States,42,0
Scott Fiedler,United States,0,0
Ron Fields,United States,28,0
Michal Figlak,Poland,8,0
Deiveson Figueiredo,Brazil,24,1
Francisco Figueiredo,Brazil,13,0
Anthony Figueroa,United States,11,0
Edwin Figueroa,United States,9,0
Paulo Filho,Brazil,23,0
Jafel Filho,Brazil,16,0
Andre Fili,United States,24,0
Mirko Filipovic,Croatia,35,0
Brady Fink,United States,2,0
Jesse Finney,United States,5,0
Jan Finney,United States,11,0
Torrez Finney,United States,10,0
Luigi Fioravanti,United States,26,0
Nick Fiore,United States,6,0
Manon Fiorot,France,12,0
Luiz Firmino,Brazil,19,0
Spencer Fisher,United States,24,0
Chris Fishgold,England,18,0
Bryanna Fissori,United States,2,0
Jon Fitch,United States,30,0
Isi Fitikefu,Australia,6,0
Rafael Fiziev,Kazakhstan,12,0
Colin Fletcher,England,14,0
AJ Fletcher,Puerto Rico,10,0
Nathan Fletcher,England,9,0
Jimmy Flick,United States,17,0
Luke Flores,Unlisted,9,0
Ty Flores,United States,7,0
Alejandro Flores,Mexico,17,0
Kenny Florian,United States,14,0
Darrius Flowers,United States,12,0
Cody Floyd,United States,2,0
Bobby Flynn,United States,6,0
Caros Fodor,United States,11,0
Mal Foki,Australia,5,0
Matt Foki,New Zealand,5,0
AJ Fonseca,Unlisted,5,0
Rob Font,United States,22,0
Claudionor Fontinelle,Unlisted,10,0
Jesse Forbes,United States,15,0
Sterling Ford,United States,15,0
Codale Ford,United States,11,0
Raheam Forest,United States,7,0
Jussier Formiga,Brazil,23,0
Renee Forte,Brazil,8,0
Brianna Fortino,United States,9,0
Marcel Fortuna,Brazil,9,0
Brian Foster,United States,27,0
Xavier Foupa-Pokam,France,32,0
Mason Fowler,United States,2,0
Brandon Foxworth,United States,18,0
Hermes Franca,Brazil,24,0
Glaico Franca Moreira,Puerto Rico,15,1
Francisco France,United States,13,0
John Franchi,United States,6,0
Rich Franklin,United States,29,1
Xavier Franklin,United States,5,0
Zoila Frausto,United States,13,0
Stephanie Frausto,United States,8,0
Zane Frazier,United States,4,0
Gary Frazier,United States,3,0
Justin Frazier,United States,10,0
Ian Freeman,England,20,0
Jason Freeman,Unlisted,6,0
Kennedy Freeman,England,6,0
Willamy Freire,Brazil,26,0
Patricio Freire,Brazil,26,0
Patricky Freire,Brazil,17,0
Jeremy  Freitag,United States,6,0
Rafael Freitas,Brazil,3,0
Donavon Frelow,United States,6,0
Josh Fremd,United States,11,0
Clay French,United States,19,0
Mike French,United States,9,0
Matt Frevola,United States,11,0
Jinh Yu Frey,United States,11,0
Artem Frolov,Russia,11,0
Sarah Frota,Brazil,9,0
Daniel Frunza,Romania,9,0
Don Frye,United States,20,0
Tony Fryklund,United States,14,0
Adam Fugitt,United States,10,0
Jesse Fujarczyk,United States,2,0
Katsuhisa Fujii,Japan,9,0
Megumi Fujii,Japan,26,0
Kazuyuki Fujita,Japan,15,0
Keisuke Fujiwara,Japan,17,0
Riki Fukuda,Japan,24,0
Masio Fullen,Mexico,11,0
Travis Fulton,United States,253,0
Sam Fulton,United States,0,0
Masakatsu Funaki,Japan,39,0
Ricardo Funch,United States,9,0
Katsuaki Furuki,Japan,1,0
James Gabert,United States,6,0
Gustavo Gabriel,Brazil,13,0
Claudia Gadelha,Brazil,18,0
Alavutdin Gadjiev,Russia,18,0
Magomed Gadzhiyasulov,Russia,9,0
Justin Gaethje,United States,25,1
Sheila Gaff,Germany,9,0
Muin Gafurov,Tajikistan,20,0
Mitch Gagnon,Canada,12,0
Brandon Gaines,United States,5,0
Travis Galbraith,Canada,18,0
Dave Galera,Philippines,5,0
Zelg Galesic,Croatia,11,0
Mickey Gall,United States,7,0
Daniel Gallemore,United States,7,0
Tom Gallicchio,United States,19,0
Turrell Galloway,United States,8,0
Eric Galvan,United States,0,0
Andre Galvao,Brazil,5,0
Marcos Galvao,Brazil,18,0
Lucas Gamaza,United States,8,0
Joey Gambino,United States,9,0
Manvel Gamburyan,Armenia,15,0
Mateusz Gamrot,Poland,24,0
Shamil Gamzatov,Russia,14,0
Ariel Gandulla,United States,7,0
Ciryl Gane,France,13,1
Sean Gannon,United States,2,0
Junye Gao,China,19,0
Eduardo Garagorri,Brazil,13,0
Cody Garbrandt,United States,14,1
Leonard Garcia,United States,18,0
Edgar Garcia,United States,14,0
Alejandro Garcia,United States,14,0
Alex Garcia,Canada,15,0
Nick Garcia,United States,8,0
Steve Garcia,United States,17,0
Elias Garcia,United States,6,0
Rafa Garcia,Mexico,16,0
Fernie Garcia,United States,10,0
Rulon Gardner,United States,1,0
David Gardner,United States,18,0
Pablo Garza,United States,12,0
Azamat Gashimov,Russia,8,0
Brian Gassaway,United States,29,0
Kelvin Gastelum,United States,19,1
Willie Gates,United States,12,0
Melissa Gatto,Brazil,9,0
Sean Gauci,Australia,10,0
Louis Gaudinot,United States,8,0
Ateba Gautier,Puerto Rico,6,0
Manuel Gaxhja,Netherlands,7,0
Shamil Gaziev,Bahrain,14,0
Charlene Gellner,United States,0,0
Chad George,United States,16,0
Paul Georgieff,United States,6,0
Brian Geraghty,United States,26,0
Derek Getzel,United States,8,0
Karine Gevorgyan,Armenia,3,0
Yanis Ghemmouri,France,12,0
Darrel Gholar,Unlisted,5,0
Tiki Ghosn,United States,10,0
Christos Giagos,United States,20,0
Joe Giannetti,United States,6,0
Nick Gibbons,United States,2,0
James Giboo,United States,13,0
Lance Gibson,Canada,4,0
Lee Gibson,United States,12,0
Cody Gibson,United States,22,0
Chase Gibson,United States,9,0
Kenny Giddens,United States,12,0
Thomas Gifford,United States,14,0
Joseph Gigliotti,United States,7,0
Joey Gilbert,United States,2,0
Trevin Giles,United States,16,0
Kultar Gill,Canada,12,0
Jesse Gillespie,United States,3,0
Gregor Gillespie,United States,14,0
Jason Gilliam,United States,14,0
Micheal Gillmore,United States,6,0
Krishaun Gilmore,United States,0,0
Alex Gilpin,United States,11,0
Bob Gilstrap,United States,5,0
Eperaim Ginting,Indonesia,6,0
Demetrius Gioulacos,Canada,0,0
Billy Giovanella,United States,9,0
He-Man Gipson,Unlisted,1,0
Israel Giron,Mexico,19,0
Brandon Girtz,United States,14,0
Jason Glaza,United States,3,0
Mike Glenn,United States,5,0
Ricky Glenn,United States,22,0
Mark Godbeer,England,13,0
Clint Godfrey,United States,13,0
Loopy Godinez,Canada,12,0
Jason Godsey,United States,16,0
Allan Goes,United States,10,0
Billy Ray Goff,United States,9,0
Amiran Gogoladze,Georgia,14,0
Jonny Goh,United States,3,0
Hannah Goldy,United States,6,0
Marcelo Golm,Brazil,6,0
Denise Gomes,Brazil,10,0
Sergio Gomez,United States,10,0
Frank Gomez,United States,10,0
Alan Gomez,United States,2,0
David Gomez,United States,1,0
Ulysses Gomez,United States,9,0
Joey Gomez,United States,7,0
Luis Gomez,United States,4,0
Edson Gomez,United States,6,0
Silvana Gomez Juarez,Argentina,11,0
Takanori Gomi,Japan,35,0
William Gomis,France,14,0
Akihiro Gono,Japan,35,0
Gabriel Gonzaga,Brazil,17,0
Justin Gonzales,United States,6,0
Fernando Gonzalez,United States,26,0
Nick Gonzalez,United States,17,0
Fabian Gonzalez,United States,2,0
Lewis Gonzalez,United States,11,0
Jason Gonzalez,United States,11,0
Pearl Gonzalez,United States,6,0
Jorge Gonzalez,Mexico,16,0
Mikey Gonzalez,United States,7,0
Erick Gonzalez,United States,14,0
Jennifer Gonzalez,Brazil,13,0
Kier Gooch,Unlisted,2,0
Lyman Good,United States,21,0
Jared Gooden,United States,23,0
Gary Goodridge,Canada,23,0
Jordan Goodwin,United States,0,0
Gerard Gordeau,Netherlands,2,0
Eddie Gordon,United States,8,1
Jared Gordon,United States,20,0
Tebaris Gordon,United States,3,0
Malcolm Gordon,Canada,14,0
Tresean Gore,United States,6,0
Alex Gorgees,Australia,6,0
Themba Gorimbo,Zimbabwe,14,0
Tim Gorman,United States,9,0
Chase Gormley,United States,14,0
Jonathan Goulet,Canada,23,0
Thibault Gouti,France,12,0
Wilson Gouveia,United States,14,0
Todd Gouwenberg,Canada,9,0
Hugo Govea,Unlisted,0,0
Justin Governale,United States,5,0
Damian Grabowski,Poland,20,0
Patryk Grabowski,Poland,5,0
Royce Gracie,Brazil,15,0
Crosley Gracie,United States,2,0
Daniel Gracie,Brazil,5,0
Ralph Gracie,Brazil,6,0
Renzo Gracie,Brazil,13,0
Rickson Gracie,Brazil,11,0
Rodrigo Gracie,Brazil,6,0
Royler Gracie,Brazil,5,0
Ryan Gracie,Brazil,5,0
Ralek Gracie,United States,3,0
Rolles Gracie,Brazil,8,0
Cesar Gracie,United States,0,0
Roger Gracie,Brazil,8,0
Igor Gracie,Brazil,5,0
Neiman Gracie,Brazil,6,0
Kron Gracie,Brazil,5,0
Bogdan Grad,Austria,15,0
Steven Graham,United States,2,0
Scott Graham,United States,3,0
Miranda Granger,United States,7,0
TJ Grant,Unlisted,21,0
Davey Grant,England,16,0
Dwight Grant,United States,11,0
Alexa Grasso,Mexico,16,1
Tony Gravely,United States,23,0
Michael Graves,United States,6,0
Shelton Graves,United States,7,0
James Gray,Unlisted,4,0
Kevin Gray,United States,9,0
Sam Greco,Australia,3,0
King Green,United States,32,0
Desmond Green,United States,23,0
Gabe Green,United States,11,0
Maurice Greene,United States,9,0
Matt Grice,United States,15,0
Forrest Griffin,United States,19,1
Tyson Griffin,United States,16,0
Max Griffin,United States,20,0
Jordan Griffin,United States,18,0
Chad Griggs,United States,11,0
Charalampos Grigoriou,Cyprus,8,0
Chuck Grigsby,United States,23,0
Rodrigo Gripp de Sousa,Brazil,7,0
Maxim Grishin,Russia,32,0
Josh Grispi,United States,14,0
Garrett Gross,United States,11,0
Kendall Grove,United States,23,1
Neil Grove,England,12,0
Chris Gruetzemacher,United States,15,0
Vik Grujic,Australia,6,0
Mike Grundy,England,12,0
Wang Guan,Unlisted,20,0
Nandor Guelmino,Austria,11,0
Fabricio Guerreiro,Brazil,21,0
Rainn Guerrero,United States,5,0
Shannon Gugerty,United States,15,0
Clay Guida,United States,38,0
Jason Guida,United States,19,0
Melvin Guillard,United States,32,0
Chris Guillen,United States,13,0
Marcelo Guimaraes,Brazil,9,0
Leonardo Guimaraes,Brazil,11,0
Brad Gumm,United States,10,0
John Gunderson,United States,35,0
John Gunther,United States,5,0
Jorge Gurgel,United States,14,0
Fabio Gurgel,Brazil,3,0
Luis Gurule,United States,10,0
Bogdan Guskov,Uzbekistan,17,0
Gugun Gusman,Indonesia,8,0
Andre Gusmao,Brazil,6,0
Alexander Gustafsson,Sweden,18,0
Andreas Gustafsson,Sweden,11,0
Justin Guthrie,United States,18,0
Horacio Gutierrez,Mexico,4,0
Chris Gutierrez,United States,21,0
Mando Gutierrez,United States,7,0
Mike Guymon,United States,15,0
Chelsea Hackett,Australia,3,0
Keith Hackney,United States,2,0
Cody Haddon,Australia,8,0
Jake Hadley,England,11,0
Steve Hadsel,United States,3,0
Damir Hadzovic,Bosnia and Herzegovina,14,0
Bassil Hafez,United States,9,0
Tim Hague,Canada,21,0
Yazan Hajeh,United States,6,0
Stoney Hale,United States,5,0
Kevin Haley,United States,6,0
Mark Hall,United States,5,0
Uriah Hall,Jamaica,18,0
Ryan Hall,United States,9,1
Dennis Hallman,United States,53,0
Piotr Hallmann,Poland,18,0
Tony Halme,Finland,0,0
Brandon Halsey,United States,9,0
John Halverson,United States,16,0
Seo Hee Ham,South Korea,17,0
Frank Hamaker,Netherlands,1,0
Kazuhiro Hamanaka,Japan,5,0
Rami Hamed,Lebanon,13,0
Matt Hamill,United States,12,0
Jeremy Hamilton,United States,9,0
Anthony Hamilton,United States,15,0
CJ Hamilton,United States,11,0
Jared Hamman,United States,14,0
James Hammortree,United States,6,0
Dean Hancock,United States,2,0
Chad Hanekom,South Africa,9,0
Joachim Hansen,Norway,23,0
Kay Hansen,United States,7,0
Nasrat Haqparast,Morocco,17,0
Shin Haraguchi,Japan,8,0
Janay Harding,Australia,2,0
Antoni Hardonk,Netherlands,8,0
George Hardwick,England,12,0
Dan Hardy,England,25,0
Veronica Hardy,Venezuela,9,0
Greg Hardy,United States,7,0
Tobias Harila,Sweden,12,0
Baru Harn,Mongolia,1,0
Scott Harper,United States,12,0
Josiah Harrell,United States,7,0
Gerry Harris,United States,1,0
Gerald Harris,United States,23,0
Phil Harris,England,22,0
Walt Harris,United States,13,0
Dhafir Harris,United States,2,0
Trevor Harris,United States,2,0
Carlston Harris,Guyana,19,0
Kayla Harrison,United States,18,0
Collin Hart,United States,6,0
Joey Hart,United States,6,0
Dale Hartt,United States,6,0
Luke Hartwig,Unlisted,0,0
Clay Harvison,United States,13,0
Hidehiko Hasegawa,Japan,19,0
Chris Haseman,Australia,20,0
Takayo Hashi,Japan,15,0
Tomohiko Hashimoto,Japan,1,0
Justin Haskins,United States,7,0
Hayder Hassan,United States,6,0
Ahmad Hassanzada,Puerto Rico,12,0
Daiki Hata,Japan,17,0
John Hathaway,England,17,0
Phil Hawes,United States,12,0
Justin Hawes,United States,6,0
Chris Hawk,United States,5,0
Del Hawkins,United States,22,0
Tommy Hayden,United States,11,0
Mike Hayes,United States,20,0
Ryan Hayes,United States,7,0
Gerric Hayes,United States,8,0
Josh Haynes,United States,14,0
Dustin Hazelett,United States,12,0
James Head,United States,9,0
Pat Healy,United States,34,0
Ryan Healy,United States,25,0
Spencer Hearns,Unlisted,1,0
David Heath,United States,18,0
Chris Heatherly,United States,9,0
Jake Hecht,United States,11,0
Nick Hein,Germany,14,0
Ian Heinisch,United States,14,0
Marcin Held,Poland,23,0
Delson Heleno,Brazil,29,0
Matt Helm,United States,1,0
Elisha Helsper,United States,0,0
Dan Henderson,United States,32,0
Benson Henderson,United States,24,1
Ron Henderson,United States,4,0
Josh Hendricks,United States,19,0
Johny Hendricks,United States,18,1
Cory Hendricks,United States,3,0
Luis Henrique,Brazil,10,0
Jose Henrique,Unlisted,5,0
Diego Henrique da Silva,Brazil,8,0
Danny Henry,Scotland,12,0
Victor Henry,United States,24,0
TJ Hepburn,United States,4,0
Jai Herbert,England,13,0
Ed Herman,United States,27,0
Dave Herman,United States,22,0
Jack Hermansson,Sweden,24,0
Noe Hernandez,Unlisted,5,0
Joe Hernandez,United States,0,0
Ramiro Hernandez,United States,19,0
Alexander Hernandez,United States,15,0
Anthony Hernandez,United States,14,0
Nohelin Hernandez,United States,9,0
Carlos Hernandez,United States,10,0
Leslie Hernandez,Puerto Rico,4,0
Paul Herrera,United States,1,0
Chris Herrera,United States,3,0
Geane Herrera,United States,9,0
Alvaro Herrera Mendoza,Mexico,9,0
Felice Herrig,United States,14,0
Heath Herring,United States,28,0
Jon Hess,United States,1,0
Clint Hester,United States,11,0
Brandon Hester,United States,3,0
Jimy Hettes,Unlisted,11,0
Conor Heun,United States,9,0
Marcus Hicks,United States,10,0
Jay Hieron,United States,23,0
Brady Hiestand,United States,9,0
Lee Higgins,United States,2,0
Jason High,United States,21,0
Richie Hightower,United States,8,0
Alex Higley,United States,4,0
Corey Hill,United States,6,0
Isaiah Hill,United States,5,0
Angela Hill,United States,18,0
Tyler Hill,United States,8,0
Jamahal Hill,United States,12,1
Kailan Hill,United States,4,0
Branden Lee Hinkle,United States,17,0
Hatsu Hioki,Japan,29,0
Alan Hiro,Unlisted,14,0
Kuniyoshi Hironaka,Japan,23,0
Mizuto Hirota,Japan,18,0
Yuji Hisamatsu,Japan,16,0
An Tuan Ho,Vietnam,6,0
Kwan Ho Kwak,South Korea,9,0
Matt Hobar,United States,9,0
Bobby Hoffman,United States,36,0
Chris Hofmann,Philippines,9,0
Sam Hoger,United States,10,0
Andrew Holbrook,United States,12,0
Sean Holden,United States,5,0
Chris Holdsworth,United States,6,1
Kevin Holland,United States,26,0
Roger Hollett,Canada,13,0
Max Holloway,United States,26,1
Gabrielle Holloway,United States,6,0
Jeremie Holloway,United States,8,0
Holly Holm,United States,15,1
Rex Holman,United States,4,0
Joseph Holmes,United States,8,0
Kurt Holobaugh,United States,22,0
Paddy Holohan,Ireland,12,0
Ben Holscher,United States,4,0
Mark Holst,Canada,12,0
Scott Holtzman,United States,14,0
Sabah Homasi,United States,11,0
Mark Hominick,Canada,20,0
Barb Honchak,United States,10,0
Chris Honeycutt,United States,9,0
JunYoung Hong,Unlisted,13,0
SeongChan Hong,South Korea,9,0
Satoshi Honma,Japan,4,0
David Hood,United States,1,0
Lorenzo Hood,United States,14,0
Dan Hooker,New Zealand,24,0
Chase Hooper,United States,15,0
Darrell Horcher,United States,13,0
Moti Horenstein,United States,1,0
Yoshinori Horie,Japan,8,0
Kyoji Horiguchi,Japan,19,0
Yuma Horiuchi,Japan,9,0
Jeremy Horn,United States,91,0
Matt Horning,United States,20,0
Chris Horodecki,Canada,21,0
Jamey-Lyn Horth,Canada,7,0
Matt Horwich,United States,30,0
John Hosman,United States,18,0
Saeed Hosseini,Iran,0,0
Jeff Hougland,United States,10,0
Trey Houston,United States,11,0
Jamie Houston,United States,3,0
Brian Houston,United States,4,0
Harold Howard,Canada,1,0
John Howard,United States,24,0
Shane Howell,United States,13,0
